Var1,Var2
45.102157,-68.6598895
45.102157,-68.6598895
45.102157,-68.6598895
45.102157,-68.6598895
45.102157,-68.6598895
45.102157,-68.6598895
45.102157,-68.6598895
45.102157,-68.6598895
45.102157,-68.6598895
45.102157,-68.6598895
45.102157,-68.6598895
45.102157,-68.6598895
45.102157,-68.6598895
45.102157,-68.6598895
45.102157,-68.6598895
45.102157,-68.6598895
45.102157,-68.6598895
45.102157,-68.6598895
45.102157,-68.6598895
45.102157,-68.6598895
45.102157,-68.6598895
45.102157,-68.6598895
45.102157,-68.6598895
45.102157,-68.6598895
45.102138,-68.659913
45.102138,-68.659913
45.102138,-68.659913
45.102138,-68.659913
45.102138,-68.659913
45.102138,-68.659913
45.102138,-68.659913
45.102138,-68.659913
45.102138,-68.659913
45.102138,-68.659913
45.102138,-68.659913
45.102138,-68.659913
45.102138,-68.659913
45.102138,-68.659913
45.102138,-68.659913
45.102138,-68.659913
45.102138,-68.659913
45.102138,-68.659913
45.102138,-68.659913
45.102138,-68.659913
45.102138,-68.659913
45.102138,-68.659913
45.102138,-68.659913
45.102138,-68.659913
45.102138,-68.659913
45.10212067,-68.6599355
45.10212067,-68.6599355
45.10212067,-68.6599355
45.10212067,-68.6599355
45.10212067,-68.6599355
45.10212067,-68.6599355
45.10212067,-68.6599355
45.10212067,-68.6599355
45.10212067,-68.6599355
45.10212067,-68.6599355
45.10212067,-68.6599355
45.10212067,-68.6599355
45.10212067,-68.6599355
45.10212067,-68.6599355
45.10212067,-68.6599355
45.10212067,-68.6599355
45.10212067,-68.6599355
45.10212067,-68.6599355
45.10212067,-68.6599355
45.10212067,-68.6599355
45.10212067,-68.6599355
45.10212067,-68.6599355
45.10212067,-68.6599355
45.10212067,-68.6599355
45.10212067,-68.6599355
45.10209567,-68.6599665
45.10209567,-68.6599665
45.10209567,-68.6599665
45.10209567,-68.6599665
45.10209567,-68.6599665
45.10209567,-68.6599665
45.10209567,-68.6599665
45.10209567,-68.6599665
45.10209567,-68.6599665
45.10209567,-68.6599665
